src_res,src_x,src_y,dst_res,dst_x,dst_y,source
OMUX08,16,2,RMUX20,16,2,silicon
RMUX20,16,2,RMUX81,15,2,silicon
RMUX81,15,2,RMUX28,16,2,silicon
RMUX28,16,2,IMUX08,16,2,silicon
OMUX08,20,2,RMUX20,20,2,silicon
RMUX20,20,2,RMUX81,19,2,silicon
RMUX81,19,2,RMUX34,20,2,silicon
RMUX34,20,2,IMUX08,20,2,silicon
OMUX08,20,2,RMUX09,20,2,silicon
RMUX09,20,2,RMUX45,20,6,silicon
RMUX45,20,6,RMUX93,19,6,silicon
RMUX93,19,6,RMUX86,15,6,silicon
RMUX86,15,6,RMUX50,14,6,silicon
OMUX08,2,3,RMUX20,2,3,silicon
RMUX20,2,3,RMUX75,1,3,silicon
RMUX75,1,3,RMUX15,1,4,silicon
OMUX08,2,3,RMUX14,2,3,silicon
RMUX14,2,3,RMUX57,2,2,silicon
RMUX57,2,2,RMUX34,2,3,silicon
RMUX34,2,3,IMUX08,2,3,silicon
OMUX08,4,3,RMUX20,4,3,silicon
RMUX20,4,3,RMUX75,1,3,silicon
OMUX08,4,3,RMUX14,4,3,silicon
RMUX14,4,3,RMUX57,4,2,silicon
RMUX57,4,2,RMUX34,4,3,silicon
RMUX34,4,3,IMUX08,4,3,silicon
RMUX20,8,3,RMUX81,7,3,silicon
RMUX81,7,3,RMUX28,8,3,silicon
RMUX28,8,3,IMUX08,8,3,silicon
OMUX08,8,3,RMUX20,8,3,silicon
RMUX20,8,3,RMUX75,7,3,silicon
RMUX20,10,3,RMUX81,9,3,silicon
RMUX81,9,3,RMUX28,10,3,silicon
RMUX28,10,3,IMUX08,10,3,silicon
OMUX08,10,3,RMUX20,10,3,silicon
RMUX20,10,3,RMUX75,7,3,silicon
RMUX20,12,3,RMUX81,11,3,silicon
RMUX81,11,3,RMUX34,12,3,silicon
RMUX34,12,3,IMUX08,12,3,silicon
OMUX08,12,3,RMUX20,12,3,silicon
OMUX08,16,3,RMUX20,16,3,silicon
RMUX20,16,3,RMUX81,15,3,silicon
RMUX81,15,3,RMUX28,16,3,silicon
RMUX28,16,3,IMUX08,16,3,silicon
OMUX08,16,3,RMUX03,16,3,silicon
RMUX03,16,3,RMUX20,12,3,silicon
OMUX08,18,3,RMUX20,18,3,silicon
RMUX20,18,3,RMUX81,17,3,silicon
RMUX81,17,3,RMUX28,18,3,silicon
RMUX28,18,3,IMUX08,18,3,silicon
OMUX08,18,3,RMUX03,18,3,silicon
RMUX20,20,3,RMUX81,19,3,silicon
RMUX81,19,3,RMUX28,20,3,silicon
RMUX28,20,3,IMUX08,20,3,silicon
OMUX08,20,3,RMUX20,20,3,silicon
RMUX20,20,3,RMUX75,17,3,silicon
RMUX75,17,3,RMUX20,17,4,silicon
