x,y,feature,byte,mask
3,2,CFG_BYPASSEN[12],88075,16
3,2,CFG_BYPASSEN[13],88539,16
3,2,CFG_BYPASSEN[14],89003,16
3,2,CFG_BYPASSEN[15],89467,16
3,2,CFG_BYPASSEN[1],82507,16
3,2,CFG_BYPASSEN[2],82971,16
3,2,CFG_BYPASSEN[3],83435,16
3,2,CFG_BYPASSEN[4],83899,16
3,2,CFG_BYPASSEN[5],84363,16
3,2,CFG_BYPASSEN[6],84827,16
3,2,CFG_BYPASSEN[7],85291,16
3,2,CFG_BYPASSEN[8],86219,16
3,2,CFG_BYPASSEN[9],86683,16
3,2,CFG_CARRY_CRL[0],81927,8
3,2,CFG_CARRY_CRL[10],87031,8
3,2,CFG_CARRY_CRL[11],87495,8
3,2,CFG_CARRY_CRL[12],87959,8
3,2,CFG_CARRY_CRL[13],88423,8
3,2,CFG_CARRY_CRL[14],88887,8
3,2,CFG_CARRY_CRL[15],89351,8
