src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X14Y7_RMUX63,X13Y7_BBMUXE00,mcu,13,7,BBMUXE0,0;1;2;3;4;5;6;7;8,0;6,vendor-slave-ahb-request-payload-shared
X14Y7_RMUX63,X13Y7_BBMUXE01,mcu,13,7,BBMUXE1,0;1;2;3;4;5;6;7;8,0;6,vendor-slave-ahb-request-payload-shared
X14Y7_RMUX63,X13Y7_BBMUXE02,mcu,13,7,BBMUXE2,0;1;2;3;4;5;6;7;8,0;6,vendor-slave-ahb-request-payload-shared
X14Y7_RMUX63,X13Y7_BBMUXE03,mcu,13,7,BBMUXE3,0;1;2;3;4;5;6;7;8,0;6,vendor-slave-ahb-request-payload-shared
X14Y7_RMUX63,X13Y7_BBMUXE04,mcu,13,7,BBMUXE4,0;1;2;3;4;5;6;7;8,0;6,vendor-slave-ahb-request-payload-shared
X14Y7_RMUX63,X13Y7_BBMUXE05,mcu,13,7,BBMUXE5,0;1;2;3;4;5;6;7;8,0;6,vendor-slave-ahb-request-payload-shared
X14Y7_RMUX63,X13Y7_BBMUXE06,mcu,13,7,BBMUXE6,0;1;2;3;4;5;6;7;8,0;6,vendor-slave-ahb-request-payload-shared
X14Y7_RMUX63,X13Y7_BBMUXE07,mcu,13,7,BBMUXE7,0;1;2;3;4;5;6;7;8,0;6,vendor-slave-ahb-request-payload-shared
X14Y7_RMUX63,X13Y7_BBMUXE08,mcu,13,7,BBMUXE8,0;1;2;3;4;5;6;7;8,0;6,vendor-slave-ahb-request-payload-shared
X14Y7_RMUX63,X13Y7_BBMUXE09,mcu,13,7,BBMUXE9,0;1;2;3;4;5;6;7;8,0;6,vendor-slave-ahb-request-payload-shared
X14Y7_RMUX63,X13Y7_BBMUXE10,mcu,13,7,BBMUXE10,0;1;2;3;4;5;6;7;8,0;6,vendor-slave-ahb-request-payload-shared
X14Y7_RMUX63,X13Y7_BBMUXE11,mcu,13,7,BBMUXE11,0;1;2;3;4;5;6;7;8,0;6,vendor-slave-ahb-request-payload-shared
X14Y8_RMUX42,X13Y8_BBMUXW00,mcu,13,8,BBMUXW0,0;1;2;3;4;5;6;7;8;9,3;5,vendor-slave-ahb-request-payload-shared
X14Y8_RMUX42,X13Y8_BBMUXW01,mcu,13,8,BBMUXW1,0;1;2;3;4;5;6;7;8;9,3;5,vendor-slave-ahb-request-payload-shared
X14Y8_RMUX42,X13Y8_BBMUXW02,mcu,13,8,BBMUXW2,0;1;2;3;4;5;6;7;8;9,3;5,vendor-slave-ahb-request-payload-shared
X14Y8_RMUX87,X14Y6_RMUX63,fabric,14,6,CFG_RMUX10,30;31;32;33;34;35;36;37;38;39,34;39,vendor-slave-ahb-request-payload-shared
X14Y8_RMUX93,X13Y8_BBMUXE00,mcu,13,8,BBMUXE0,0;1;2;3;4;5;6;7;8,3;6,vendor-slave-ahb-request-payload-shared
X14Y8_RMUX93,X13Y8_BBMUXE01,mcu,13,8,BBMUXE1,0;1;2;3;4;5;6;7;8,3;6,vendor-slave-ahb-request-payload-shared
X14Y8_RMUX93,X13Y8_BBMUXE02,mcu,13,8,BBMUXE2,0;1;2;3;4;5;6;7;8,3;6,vendor-slave-ahb-request-payload-shared
X14Y8_RMUX93,X13Y8_BBMUXE03,mcu,13,8,BBMUXE3,0;1;2;3;4;5;6;7;8,3;6,vendor-slave-ahb-request-payload-shared
X14Y8_RMUX93,X13Y8_BBMUXE04,mcu,13,8,BBMUXE4,0;1;2;3;4;5;6;7;8,3;6,vendor-slave-ahb-request-payload-shared
X14Y8_RMUX93,X13Y8_BBMUXE05,mcu,13,8,BBMUXE5,0;1;2;3;4;5;6;7;8,3;6,vendor-slave-ahb-request-payload-shared
X14Y8_RMUX93,X13Y8_BBMUXE06,mcu,13,8,BBMUXE6,0;1;2;3;4;5;6;7;8,3;6,vendor-slave-ahb-request-payload-shared
X14Y8_RMUX93,X13Y8_BBMUXE07,mcu,13,8,BBMUXE7,0;1;2;3;4;5;6;7;8,3;6,vendor-slave-ahb-request-payload-shared
X14Y8_RMUX93,X13Y8_BBMUXE08,mcu,13,8,BBMUXE8,0;1;2;3;4;5;6;7;8,3;6,vendor-slave-ahb-request-payload-shared
X14Y8_RMUX93,X13Y8_BBMUXE09,mcu,13,8,BBMUXE9,0;1;2;3;4;5;6;7;8,3;6,vendor-slave-ahb-request-payload-shared
X14Y8_RMUX93,X13Y8_BBMUXE10,mcu,13,8,BBMUXE10,0;1;2;3;4;5;6;7;8,3;6,vendor-slave-ahb-request-payload-shared
X14Y8_RMUX93,X13Y8_BBMUXE11,mcu,13,8,BBMUXE11,0;1;2;3;4;5;6;7;8,3;6,vendor-slave-ahb-request-payload-shared
X14Y9_RMUX42,X13Y9_BBMUXW00,mcu,13,9,BBMUXW0,0;1;2;3;4;5;6;7;8;9,3;5,vendor-slave-ahb-request-payload-shared
