src_wire,dst_wire,pip_type,cfg_group,clear_selectors,set_selectors,evidence
X14Y4_RMUX49,X13Y4_RMUX22,ROUTE,CFG_RMUX3,40;41;42;43;44;45;46;47;48;49,45;47,bram-fullword-x18-two-site-20260906
X14Y4_RMUX54,X13Y4_IMUX27,ROUTE,CFG_IMUX6,36;37;38;39;40;41;42;43;44;45;46;47,42;45,bram-fullword-physical-bit8-20260906
X14Y4_RMUX63,X13Y4_RMUX53,ROUTE,CFG_RMUX8,50;51;52;53;54;55;56;57;58;59,55;57,bram-fullword-x18-two-site-20260906
X14Y4_RMUX72,X13Y4_IMUX16,ROUTE,CFG_IMUX4,0;1;2;3;4;5;6;7;8;9;10;11,7;9,bram-fullword-x18-two-site-20260906
X14Y4_RMUX78,X13Y4_IMUX25,ROUTE,CFG_IMUX6,12;13;14;15;16;17;18;19;20;21;22;23,19;21,bram-fullword-physical-bit8-20260906
X14Y4_RMUX86,X13Y4_RMUX57,ROUTE,CFG_RMUX9,30;31;32;33;34;35;36;37;38;39,35;37,bram-fullword-physical-bit8-20260906
X14Y4_RMUX86,X13Y4_RMUX67,ROUTE,CFG_RMUX11,10;11;12;13;14;15;16;17;18;19,15;17,bram-fullword-x18-two-site-20260906
X14Y4_RMUX93,X13Y4_RMUX83,ROUTE,CFG_RMUX13,50;51;52;53;54;55;56;57;58;59,55;57,bram-fullword-x18-two-site-20260906
X15Y3_RMUX03,X13Y3_RMUX05,ROUTE,CFG_RMUX0,50;51;52;53;54;55;56;57;58;59,56;57,bram-fullword-x18-two-site-20260906
X15Y3_RMUX13,X13Y3_RMUX64,ROUTE,CFG_RMUX10,40;41;42;43;44;45;46;47;48;49,46;47,bram-fullword-physical-bit8-20260906
X15Y3_RMUX13,X13Y3_RMUX70,ROUTE,CFG_RMUX11,40;41;42;43;44;45;46;47;48;49,46;47,bram-fullword-x18-two-site-20260906
X15Y3_RMUX26,X13Y3_RMUX18,ROUTE,CFG_RMUX3,0;1;2;3;4;5;6;7;8;9,6;7,bram-fullword-x18-two-site-20260906
X15Y3_RMUX33,X13Y3_RMUX34,ROUTE,CFG_RMUX5,40;41;42;43;44;45;46;47;48;49,46;47,bram-fullword-x18-two-site-20260906
X15Y3_RMUX43,X13Y3_RMUX94,ROUTE,CFG_RMUX15,40;41;42;43;44;45;46;47;48;49,46;47,bram-fullword-physical-bit8-20260906
X15Y3_RMUX49,X13Y3_RMUX00,ROUTE,CFG_RMUX0,0;1;2;3;4;5;6;7;8;9,6;7,bram-fullword-physical-bit8-20260906
X15Y3_RMUX49,X13Y3_RMUX17,ROUTE,CFG_RMUX2,50;51;52;53;54;55;56;57;58;59,56;57,bram-fullword-x18-two-site-20260906
X15Y3_RMUX56,X13Y3_RMUX36,ROUTE,CFG_RMUX6,0;1;2;3;4;5;6;7;8;9,6;7,bram-fullword-x18-two-site-20260906
X15Y3_RMUX56,X13Y3_TMUX05,ROUTE,CFG_TMUX,40;41;42;43;44;45;46;47,44;46,bram-fullword-physical-bit8-20260906
X15Y3_RMUX63,X13Y3_RMUX53,ROUTE,CFG_RMUX8,50;51;52;53;54;55;56;57;58;59,56;57,bram-fullword-x18-two-site-20260906
X15Y3_RMUX79,X13Y3_RMUX24,ROUTE,CFG_RMUX4,0;1;2;3;4;5;6;7;8;9,6;7,bram-fullword-physical-bit8-20260906
X15Y3_RMUX79,X13Y3_RMUX41,ROUTE,CFG_RMUX6,50;51;52;53;54;55;56;57;58;59,56;57,bram-fullword-x18-two-site-20260906
X15Y3_RMUX86,X13Y3_TMUX09,ROUTE,CFG_TMUX,72;73;74;75;76;77;78;79,76;78,bram-fullword-x18-two-site-20260906
X15Y3_RMUX93,X13Y3_RMUX82,ROUTE,CFG_RMUX13,40;41;42;43;44;45;46;47;48;49,46;47,bram-fullword-physical-bit8-20260906
X15Y4_RMUX13,X13Y4_RMUX71,ROUTE,CFG_RMUX11,50;51;52;53;54;55;56;57;58;59,56;57,bram-fullword-x18-two-site-20260906
X15Y4_RMUX43,X13Y4_RMUX89,ROUTE,CFG_RMUX14,50;51;52;53;54;55;56;57;58;59,56;57,bram-fullword-physical-bit8-20260906
X15Y4_RMUX43,X13Y4_RMUX94,ROUTE,CFG_RMUX15,40;41;42;43;44;45;46;47;48;49,46;47,bram-fullword-x18-two-site-20260906
X15Y4_RMUX49,X13Y4_RMUX06,ROUTE,CFG_RMUX1,0;1;2;3;4;5;6;7;8;9,6;7,bram-fullword-x18-two-site-20260906
X15Y4_RMUX56,X13Y4_TMUX05,ROUTE,CFG_TMUX,40;41;42;43;44;45;46;47,44;46,bram-fullword-physical-bit8-20260906
X15Y4_RMUX63,X13Y4_RMUX52,ROUTE,CFG_RMUX8,40;41;42;43;44;45;46;47;48;49,46;47,bram-fullword-x18-two-site-20260906
X15Y4_RMUX86,X13Y4_RMUX67,ROUTE,CFG_RMUX11,10;11;12;13;14;15;16;17;18;19,16;17,bram-fullword-physical-bit8-20260906
X15Y4_RMUX86,X13Y4_TMUX09,ROUTE,CFG_TMUX,72;73;74;75;76;77;78;79,76;78,bram-fullword-x18-two-site-20260906
X15Y4_RMUX93,X13Y4_RMUX76,ROUTE,CFG_RMUX12,40;41;42;43;44;45;46;47;48;49,46;47,bram-fullword-x18-two-site-20260906
X16Y3_RMUX13,X13Y3_RMUX65,ROUTE,CFG_RMUX10,50;51;52;53;54;55;56;57;58;59,50;58,bram-fullword-physical-bit8-20260906
X16Y3_RMUX26,X13Y3_RMUX12,ROUTE,CFG_RMUX2,0;1;2;3;4;5;6;7;8;9,0;8,bram-fullword-x18-two-site-20260906
X16Y3_RMUX26,X13Y3_RMUX18,ROUTE,CFG_RMUX3,0;1;2;3;4;5;6;7;8;9,0;8,bram-fullword-physical-bit8-20260906
X16Y3_RMUX33,X13Y3_RMUX28,ROUTE,CFG_RMUX4,40;41;42;43;44;45;46;47;48;49,40;48,bram-fullword-x18-two-site-20260906
X16Y3_RMUX49,X13Y3_RMUX17,ROUTE,CFG_RMUX2,50;51;52;53;54;55;56;57;58;59,50;58,bram-fullword-physical-bit8-20260906
X16Y3_RMUX56,X13Y3_RMUX36,ROUTE,CFG_RMUX6,0;1;2;3;4;5;6;7;8;9,0;8,bram-fullword-physical-bit8-20260906
X16Y3_RMUX56,X13Y3_RMUX42,ROUTE,CFG_RMUX7,0;1;2;3;4;5;6;7;8;9,0;8,bram-fullword-x18-two-site-20260906
X16Y3_RMUX63,X13Y3_RMUX52,ROUTE,CFG_RMUX8,40;41;42;43;44;45;46;47;48;49,40;48,bram-fullword-x18-two-site-20260906
X16Y3_RMUX63,X13Y3_RMUX53,ROUTE,CFG_RMUX8,50;51;52;53;54;55;56;57;58;59,50;58,bram-fullword-physical-bit8-20260906
X16Y3_RMUX79,X13Y3_RMUX40,ROUTE,CFG_RMUX6,40;41;42;43;44;45;46;47;48;49,40;48,bram-fullword-x18-two-site-20260906
X16Y3_RMUX79,X13Y3_RMUX46,ROUTE,CFG_RMUX7,40;41;42;43;44;45;46;47;48;49,40;48,bram-fullword-physical-bit8-20260906
X16Y3_RMUX93,X13Y3_RMUX77,ROUTE,CFG_RMUX12,50;51;52;53;54;55;56;57;58;59,50;58,bram-fullword-physical-bit8-20260906
X16Y3_RMUX93,X13Y3_RMUX82,ROUTE,CFG_RMUX13,40;41;42;43;44;45;46;47;48;49,40;48,bram-fullword-x18-two-site-20260906
X16Y4_RMUX13,X13Y4_RMUX64,ROUTE,CFG_RMUX10,40;41;42;43;44;45;46;47;48;49,40;48,bram-fullword-physical-bit8-20260906
X16Y4_RMUX13,X13Y4_RMUX65,ROUTE,CFG_RMUX10,50;51;52;53;54;55;56;57;58;59,50;58,bram-fullword-x18-two-site-20260906
X16Y4_RMUX33,X13Y4_RMUX34,ROUTE,CFG_RMUX5,40;41;42;43;44;45;46;47;48;49,40;48,bram-fullword-x18-two-site-20260906
X16Y4_RMUX43,X13Y4_RMUX73,ROUTE,CFG_RMUX12,10;11;12;13;14;15;16;17;18;19,10;18,bram-fullword-physical-bit8-20260906
X16Y4_RMUX49,X13Y4_RMUX23,ROUTE,CFG_RMUX3,50;51;52;53;54;55;56;57;58;59,50;58,bram-fullword-x18-two-site-20260906
X16Y4_RMUX56,X13Y4_RMUX36,ROUTE,CFG_RMUX6,0;1;2;3;4;5;6;7;8;9,0;8,bram-fullword-physical-bit8-20260906
X16Y4_RMUX63,X13Y4_RMUX59,ROUTE,CFG_RMUX9,50;51;52;53;54;55;56;57;58;59,50;58,bram-fullword-x18-two-site-20260906
X17Y3_RMUX03,X13Y3_RMUX11,ROUTE,CFG_RMUX1,50;51;52;53;54;55;56;57;58;59,51;58,bram-fullword-physical-bit8-20260906
X17Y3_RMUX13,X13Y3_RMUX65,ROUTE,CFG_RMUX10,50;51;52;53;54;55;56;57;58;59,51;58,bram-fullword-x18-two-site-20260906
X17Y3_RMUX43,X13Y3_RMUX88,ROUTE,CFG_RMUX14,40;41;42;43;44;45;46;47;48;49,41;48,bram-fullword-x18-two-site-20260906
X17Y4_RMUX03,X13Y4_RMUX10,ROUTE,CFG_RMUX1,40;41;42;43;44;45;46;47;48;49,41;48,bram-fullword-physical-bit8-20260906
X17Y4_RMUX03,X13Y4_RMUX11,ROUTE,CFG_RMUX1,50;51;52;53;54;55;56;57;58;59,51;58,bram-fullword-x18-two-site-20260906
X17Y4_RMUX13,X13Y4_RMUX65,ROUTE,CFG_RMUX10,50;51;52;53;54;55;56;57;58;59,51;58,bram-fullword-physical-bit8-20260906
X17Y4_RMUX13,X13Y4_RMUX70,ROUTE,CFG_RMUX11,40;41;42;43;44;45;46;47;48;49,41;48,bram-fullword-x18-two-site-20260906
X17Y4_RMUX33,X13Y4_RMUX28,ROUTE,CFG_RMUX4,40;41;42;43;44;45;46;47;48;49,41;48,bram-fullword-x18-two-site-20260906
X17Y4_RMUX33,X13Y4_RMUX34,ROUTE,CFG_RMUX5,40;41;42;43;44;45;46;47;48;49,41;48,bram-fullword-physical-bit8-20260906
X17Y4_RMUX43,X13Y4_RMUX88,ROUTE,CFG_RMUX14,40;41;42;43;44;45;46;47;48;49,41;48,bram-fullword-x18-two-site-20260906
X17Y4_RMUX49,X13Y4_RMUX17,ROUTE,CFG_RMUX2,50;51;52;53;54;55;56;57;58;59,51;58,bram-fullword-x18-two-site-20260906
X17Y4_RMUX56,X13Y4_RMUX42,ROUTE,CFG_RMUX7,0;1;2;3;4;5;6;7;8;9,1;8,bram-fullword-x18-two-site-20260906
X17Y4_RMUX79,X13Y4_RMUX30,ROUTE,CFG_RMUX5,0;1;2;3;4;5;6;7;8;9,1;8,bram-fullword-x18-two-site-20260906
X17Y4_RMUX93,X13Y4_RMUX77,ROUTE,CFG_RMUX12,50;51;52;53;54;55;56;57;58;59,51;58,bram-fullword-x18-two-site-20260906
