src_res,src_x,src_y,dst_res,dst_x,dst_y,source
RMUX56,17,3,RMUX32,14,3,silicon_ff2
OMUX02,16,11,IMUX02,16,11,silicon_ff2
RMUX21,16,11,RMUX86,16,7,silicon_ff2
OMUX02,16,11,RMUX08,16,11,silicon_ff2
RMUX07,11,4,RMUX31,11,2,silicon_ff2
RMUX31,11,2,RMUX25,14,2,silicon_ff2
RMUX92,14,1,RMUX75,14,3,silicon_ff2
RMUX93,18,1,RMUX92,14,1,silicon_ff2
RMUX08,18,6,RMUX33,19,6,silicon_ff2
RMUX56,16,6,RMUX27,14,6,silicon_ff2
OMUX02,18,6,RMUX08,18,6,silicon_ff2
RMUX38,15,6,RMUX56,16,6,silicon_ff2
RMUX33,19,6,RMUX38,15,6,silicon_ff2
RMUX93,18,5,RMUX76,14,5,silicon_ff2
RMUX21,18,8,RMUX93,18,5,silicon_ff2
OMUX02,18,9,IMUX02,18,9,silicon_ff2
RMUX63,18,1,RMUX69,14,1,silicon_ff2
RMUX87,18,5,RMUX63,18,1,silicon_ff2
RMUX69,14,1,RMUX92,14,3,silicon_ff2
RMUX21,18,9,RMUX87,18,5,silicon_ff2
RMUX21,18,9,RMUX86,18,5,silicon_ff2
RMUX92,14,3,RMUX75,14,4,silicon_ff2
OMUX02,18,9,RMUX21,18,9,silicon_ff2
RMUX03,20,8,RMUX14,18,8,silicon_ff2
RMUX56,18,6,RMUX27,14,6,silicon_ff2
RMUX14,18,8,RMUX56,18,6,silicon_ff2
OMUX02,20,5,RMUX13,20,5,silicon_ff2
RMUX49,18,5,RMUX22,14,5,silicon_ff2
RMUX13,20,5,RMUX49,18,5,silicon_ff2
RMUX07,14,8,RMUX46,14,5,silicon_ff2
RMUX46,14,5,IMUX00,14,5,silicon_ff2
RMUX27,19,7,RMUX20,19,3,silicon_ff2
RMUX08,20,7,RMUX27,20,7,silicon_ff2
RMUX85,18,3,RMUX49,18,5,silicon_ff2
OMUX02,20,7,RMUX08,20,7,silicon_ff2
RMUX20,19,3,RMUX85,18,3,silicon_ff2
RMUX08,20,7,RMUX27,19,7,silicon_ff2
OMUX02,20,7,IMUX02,20,7,silicon_ff2
RMUX27,20,7,RMUX21,20,5,silicon_ff2
RMUX09,14,5,RMUX28,14,6,silicon_ff2
RMUX28,14,6,IMUX00,14,6,silicon_ff2
RMUX86,15,6,RMUX50,14,6,silicon_ff2
RMUX50,14,6,RMUX09,14,5,silicon_ff2
RMUX08,14,6,RMUX27,17,6,silicon_ff2
RMUX93,19,6,RMUX86,15,6,silicon_ff2
RMUX74,11,3,RMUX02,14,3,silicon_ff2
RMUX69,19,4,RMUX93,19,6,silicon_ff2
RMUX15,17,4,RMUX69,19,4,silicon_ff2
RMUX27,17,6,RMUX15,17,4,silicon_ff2
RMUX82,14,6,IMUX00,14,6,silicon_ff2
RMUX21,14,8,RMUX82,14,6,silicon_ff2
RMUX69,14,2,RMUX76,14,6,silicon_ff2
RMUX21,14,9,RMUX87,14,6,silicon_ff2
RMUX76,14,6,IMUX00,14,6,silicon_ff2
RMUX21,14,10,RMUX82,14,6,silicon_ff2
RMUX87,14,7,RMUX68,14,3,silicon_ff2
RMUX75,14,6,RMUX21,14,8,silicon_ff2
RMUX20,17,6,RMUX75,14,6,silicon_ff2
RMUX68,14,3,RMUX75,17,3,silicon_ff2
RMUX75,17,3,RMUX20,17,6,silicon_ff2
RMUX69,14,5,RMUX76,14,6,silicon_ff2
RMUX39,14,4,RMUX69,14,5,silicon_ff2
RMUX09,14,2,RMUX28,14,6,silicon_ff2
RMUX20,16,6,RMUX75,14,6,silicon_ff2
RMUX75,16,3,RMUX20,16,6,silicon_ff2
RMUX10,14,6,IMUX00,14,6,silicon_ff2
RMUX44,14,6,RMUX75,14,5,silicon_ff2
RMUX75,14,5,RMUX10,14,6,silicon_ff2
RMUX02,16,7,RMUX03,16,8,silicon_ff2
RMUX03,16,8,RMUX21,14,8,silicon_ff2
OMUX02,16,7,RMUX02,16,7,silicon_ff2
RMUX93,16,6,RMUX82,14,6,silicon_ff2
RMUX21,16,8,RMUX93,16,6,silicon_ff2
RMUX87,16,10,RMUX63,16,6,silicon_ff2
RMUX58,14,6,IMUX00,14,6,silicon_ff2
RMUX63,16,6,RMUX58,14,6,silicon_ff2
RMUX21,16,11,RMUX87,16,10,silicon_ff2
RMUX44,14,12,RMUX80,14,10,silicon_ff2
OMUX02,16,12,RMUX08,16,12,silicon_ff2
RMUX08,16,12,RMUX27,20,12,silicon_ff2
RMUX27,20,12,RMUX21,20,8,silicon_ff2
OMUX02,16,12,IMUX02,16,12,silicon_ff2
RMUX80,14,10,RMUX27,14,6,silicon_ff2
RMUX08,16,12,RMUX33,17,12,silicon_ff2
RMUX33,17,12,RMUX44,14,12,silicon_ff2
RMUX27,14,6,RMUX20,14,4,silicon_ff2
RMUX20,14,4,RMUX81,13,4,silicon_ff2
RMUX39,15,4,RMUX63,15,5,silicon_ff2
