"edge","template","column","routes","source"
"RMUX9@3,1->RMUX38@3,1","RMUX9(+0,+0)->RMUX38","3","2","afexe_bitgen_20260919"
"RMUX15@3,1->RMUX63@2,1","RMUX15(+1,+0)->RMUX63","2","2","afexe_bitgen_20260919"
"RMUX25@3,1->RMUX0@3,1","RMUX25(+0,+0)->RMUX0","3","2","afexe_bitgen_20260919"
"RMUX25@3,1->RMUX1@3,1","RMUX25(+0,+0)->RMUX1","3","2","afexe_bitgen_20260919"
"RMUX27@3,1->RMUX4@3,2","RMUX27(+0,-1)->RMUX4","3","2","afexe_bitgen_20260919"
"RMUX27@3,1->RMUX11@3,2","RMUX27(+0,-1)->RMUX11","3","2","afexe_bitgen_20260919"
"RMUX27@3,1->RMUX15@3,2","RMUX27(+0,-1)->RMUX15","3","2","afexe_bitgen_20260919"
"RMUX33@3,1->RMUX45@3,1","RMUX33(+0,+0)->RMUX45","3","2","afexe_bitgen_20260919"
"RMUX38@3,1->RMUX50@2,1","RMUX38(+1,+0)->RMUX50","2","2","afexe_bitgen_20260919"
"RMUX45@3,1->RMUX86@2,1","RMUX45(+1,+0)->RMUX86","2","2","afexe_bitgen_20260919"
"RMUX49@3,1->RMUX7@4,1","RMUX49(-1,+0)->RMUX7","4","2","afexe_bitgen_20260919"
"RMUX51@3,1->RMUX15@3,1","RMUX51(+0,+0)->RMUX15","3","2","afexe_bitgen_20260919"
"RMUX57@3,1->RMUX45@3,1","RMUX57(+0,+0)->RMUX45","3","2","afexe_bitgen_20260919"
"RMUX57@3,1->RMUX34@3,2","RMUX57(+0,-1)->RMUX34","3","2","afexe_bitgen_20260919"
"RMUX57@3,1->RMUX38@3,2","RMUX57(+0,-1)->RMUX38","3","2","afexe_bitgen_20260919"
"RMUX68@3,1->RMUX80@2,1","RMUX68(+1,+0)->RMUX80","2","2","afexe_bitgen_20260919"
"RMUX68@3,1->RMUX85@2,1","RMUX68(+1,+0)->RMUX85","2","2","afexe_bitgen_20260919"
"RMUX80@3,1->RMUX26@3,3","RMUX80(+0,-2)->RMUX26","3","2","afexe_bitgen_20260919"
"RMUX86@3,1->RMUX50@4,1","RMUX86(-1,+0)->RMUX50","4","2","afexe_bitgen_20260919"
"RMUX91@3,1->RMUX72@2,1","RMUX91(+1,+0)->RMUX72","2","2","afexe_bitgen_20260919"
"RMUX91@3,1->RMUX89@2,1","RMUX91(+1,+0)->RMUX89","2","2","afexe_bitgen_20260919"
"RMUX92@3,1->RMUX81@3,1","RMUX92(+0,+0)->RMUX81","3","2","afexe_bitgen_20260919"
"RMUX2@3,2->RMUX18@3,1","RMUX2(+0,+1)->RMUX18","3","2","afexe_bitgen_20260919"
"RMUX3@3,2->RMUX15@3,2","RMUX3(+0,+0)->RMUX15","3","2","afexe_bitgen_20260919"
"RMUX3@3,2->RMUX21@3,2","RMUX3(+0,+0)->RMUX21","3","2","afexe_bitgen_20260919"
"RMUX8@3,2->RMUX26@2,2","RMUX8(+1,+0)->RMUX26","2","2","afexe_bitgen_20260919"
"RMUX8@3,2->RMUX27@2,2","RMUX8(+1,+0)->RMUX27","2","2","afexe_bitgen_20260919"
"RMUX8@3,2->RMUX37@2,2","RMUX8(+1,+0)->RMUX37","2","2","afexe_bitgen_20260919"
"RMUX15@3,2->RMUX63@2,2","RMUX15(+1,+0)->RMUX63","2","2","afexe_bitgen_20260919"
"RMUX19@3,2->RMUX88@3,1","RMUX19(+0,+1)->RMUX88","3","2","afexe_bitgen_20260919"
"RMUX19@3,2->RMUX89@3,1","RMUX19(+0,+1)->RMUX89","3","2","afexe_bitgen_20260919"
"RMUX19@3,2->RMUX95@3,1","RMUX19(+0,+1)->RMUX95","3","2","afexe_bitgen_20260919"
"RMUX25@3,2->RMUX0@3,2","RMUX25(+0,+0)->RMUX0","3","2","afexe_bitgen_20260919"
"RMUX25@3,2->RMUX1@3,2","RMUX25(+0,+0)->RMUX1","3","2","afexe_bitgen_20260919"
