src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,observed_runs,evidence
X19Y4_RMUX07,X19Y3_RMUX25,fabric,19,3,CFG_RMUX4,10;11;12;13;14;15;16;17;18;19,13;19,user_6981;user_6991;user_7001;user_7011;structural_6987;structural_6997;structural_7017,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X19Y3_RMUX25,X19Y7_RMUX07,fabric,19,7,CFG_RMUX1,10;11;12;13;14;15;16;17;18;19,12;19,user_6981;user_6991;user_7001;user_7011;structural_6987;structural_6997;structural_7017,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X19Y7_RMUX07,X19Y6_RMUX25,fabric,19,6,CFG_RMUX4,10;11;12;13;14;15;16;17;18;19,13;19,user_6981;user_6991;user_7001;user_7011;structural_6987;structural_6997;structural_7017,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X19Y6_RMUX25,X19Y10_RMUX07,fabric,19,10,CFG_RMUX1,10;11;12;13;14;15;16;17;18;19,12;19,user_6981;user_6991;user_7001;user_7011;structural_6987;structural_6997;structural_7017,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X19Y10_RMUX07,X19Y9_RMUX25,fabric,19,9,CFG_RMUX4,10;11;12;13;14;15;16;17;18;19,13;19,user_6981;user_6991;user_7001;user_7011;structural_6987;structural_6997;structural_7017,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X9Y5_BufMUX09,X9Y5_InputMUX08,mcu,9,5,InputMUX8,0,0,user_6981;user_6991;user_7001;user_7011;structural_6987;structural_6997;structural_7007;structural_7017,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X9Y5_InputMUX08,X9Y4_RMUX68,fabric,9,4,CFG_RMUX11,20;21;22;23;24;25;26;27;28;29,23;29,user_6981;user_6991;user_7001;user_7011;structural_6987;structural_6997;structural_7007;structural_7017,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X9Y4_RMUX68,X11Y4_RMUX74,fabric,11,4,CFG_RMUX12,20;21;22;23;24;25;26;27;28;29,23;28,user_6981;user_6991;user_7001;user_7011;structural_6987;structural_6997;structural_7007;structural_7017,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X11Y4_RMUX74,X15Y4_RMUX09,fabric,15,4,CFG_RMUX1,30;31;32;33;34;35;36;37;38;39,35;38,user_6981;structural_6987;structural_7007,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X15Y4_RMUX09,X15Y5_RMUX45,fabric,15,5,CFG_RMUX7,30;31;32;33;34;35;36;37;38;39,36;38,structural_6987;structural_7007,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X15Y5_RMUX45,X19Y5_RMUX92,fabric,19,5,CFG_RMUX15,20;21;22;23;24;25;26;27;28;29,25;28,structural_6987;structural_7007,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X19Y5_RMUX92,X19Y9_RMUX85,fabric,19,9,CFG_RMUX14,10;11;12;13;14;15;16;17;18;19,12;19,structural_6987;structural_7007,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X13Y7_BufMUX12,X14Y7_RMUX09,fabric,14,7,CFG_RMUX1,30;31;32;33;34;35;36;37;38;39,30;37,user_6981;user_6991;user_7001;user_7011;structural_6987;structural_6997;structural_7007;structural_7017,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X14Y7_RMUX09,X14Y9_RMUX38,fabric,14,9,CFG_RMUX6,20;21;22;23;24;25;26;27;28;29,20;29,user_6981;user_6991;user_7001;user_7011;structural_6987;structural_6997,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X14Y9_RMUX38,X15Y9_RMUX61,fabric,15,9,CFG_RMUX10,10;11;12;13;14;15;16;17;18;19,12;18,user_6981;user_6991;user_7001;user_7011;structural_6987;structural_6997,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X15Y9_RMUX61,X19Y9_RMUX55,fabric,19,9,CFG_RMUX9,10;11;12;13;14;15;16;17;18;19,15;18,user_6981;user_6991;user_7001;user_7011;structural_6987;structural_6997,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X13Y6_BufMUX00,X13Y6_InputMUX01,mcu,13,6,InputMUX1,0,,user_6981;user_6991;user_7001;user_7011;structural_6987;structural_6997;structural_7007;structural_7017,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X13Y6_InputMUX01,X15Y6_RMUX08,fabric,15,6,CFG_RMUX1,20;21;22;23;24;25;26;27;28;29,23;28,user_7011;structural_6987;structural_7007,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X15Y6_RMUX08,X19Y6_RMUX32,fabric,19,6,CFG_RMUX5,20;21;22;23;24;25;26;27;28;29,25;28,user_7011;structural_6987;structural_7007,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X19Y6_RMUX32,X19Y9_RMUX32,fabric,19,9,CFG_RMUX5,20;21;22;23;24;25;26;27;28;29,21;29,user_7011;structural_6987;structural_7007,vendor-spi1-tx-eight-root-agreement-structural6987-composition
