src_res,src_x,src_y,dst_res,dst_x,dst_y,source
RMUX34,16,11,IMUX08,16,11,silicon_harvest
RMUX19,16,10,RMUX88,16,11,silicon_harvest
OMUX11,16,11,RMUX07,16,11,silicon_harvest
RMUX81,11,4,RMUX39,14,4,silicon_harvest
OMUX07,16,11,IMUX12,16,11,silicon_harvest
RMUX33,17,11,RMUX34,16,11,silicon_harvest
RMUX75,16,10,RMUX10,16,11,silicon_harvest
RMUX28,16,11,IMUX24,16,11,silicon_harvest
OMUX02,16,11,OMUX01,16,11,silicon_harvest
RMUX75,14,7,RMUX15,14,11,silicon_harvest
RMUX81,6,4,RMUX45,10,4,silicon_harvest
OMUX19,16,11,IMUX28,16,11,silicon_harvest
RMUX88,16,11,IMUX40,16,11,silicon_harvest
RMUX63,15,8,RMUX58,14,8,silicon_harvest
RMUX50,14,4,RMUX09,14,2,silicon_harvest
OMUX07,14,8,IMUX12,14,8,silicon_harvest
RMUX38,14,8,RMUX51,15,8,silicon_harvest
RMUX27,14,8,RMUX20,14,4,silicon_harvest
OMUX31,14,8,IMUX44,14,8,silicon_harvest
OMUX29,14,8,RMUX50,14,8,silicon_harvest
RMUX16,14,8,IMUX16,14,8,silicon_harvest
RMUX39,15,4,RMUX63,15,8,silicon_harvest
RMUX86,18,4,RMUX56,16,4,silicon_harvest
RMUX39,14,5,RMUX69,14,8,silicon_harvest
RMUX28,14,8,IMUX00,14,8,silicon_harvest
RMUX58,14,8,IMUX32,14,8,silicon_harvest
RMUX33,17,5,RMUX44,16,5,silicon_harvest
RMUX45,11,4,RMUX92,15,4,silicon_harvest
RMUX10,14,8,IMUX24,14,8,silicon_harvest
RMUX14,14,8,RMUX50,14,4,silicon_harvest
RMUX82,14,8,IMUX08,14,8,silicon_harvest
RMUX20,18,8,RMUX75,14,8,silicon_harvest
OMUX14,14,8,OMUX13,14,8,silicon_harvest
OMUX11,14,8,RMUX14,14,8,silicon_harvest
