x,y,mux,sel_index,byte,mask
3,5,BBMUXS10,2,65455,1
3,5,BBMUXS10,3,65571,1
3,5,BBMUXS10,4,65456,128
3,5,BBMUXS10,5,65572,128
3,5,BBMUXS10,6,65456,64
3,5,BBMUXS10,7,65572,64
3,5,BBMUXS10,8,65572,8
3,5,BBMUXS11,0,65687,2
3,5,BBMUXS11,1,65803,2
3,5,BBMUXS11,2,65687,1
3,5,BBMUXS11,3,65803,1
3,5,BBMUXS11,4,65688,128
3,5,BBMUXS11,5,65804,128
3,5,BBMUXS11,6,65688,64
3,5,BBMUXS11,7,65804,64
3,5,BBMUXS11,8,65804,8
3,5,BBMUXS2,0,64763,16
3,5,BBMUXS2,1,64879,16
3,5,BBMUXS2,2,64763,32
3,5,BBMUXS2,3,64879,32
3,5,BBMUXS2,4,64763,64
3,5,BBMUXS2,5,64879,64
3,5,BBMUXS2,6,64763,128
3,5,BBMUXS2,7,64879,128
3,5,BBMUXS2,8,64878,4
3,5,BBMUXS3,0,65227,16
3,5,BBMUXS3,1,65343,16
3,5,BBMUXS3,2,65227,32
3,5,BBMUXS3,3,65343,32
3,5,BBMUXS3,4,65227,64
3,5,BBMUXS3,5,65343,64
3,5,BBMUXS3,6,65227,128
3,5,BBMUXS3,7,65343,128
3,5,BBMUXS3,8,65342,4
3,5,BBMUXS4,0,65459,16
3,5,BBMUXS4,1,65575,16
3,5,BBMUXS4,2,65459,32
3,5,BBMUXS4,3,65575,32
3,5,BBMUXS4,4,65459,64
3,5,BBMUXS4,5,65575,64
3,5,BBMUXS4,6,65459,128
3,5,BBMUXS4,7,65575,128
3,5,BBMUXS4,8,65574,4
3,5,BBMUXS5,0,65691,16
3,5,BBMUXS5,1,65807,16
3,5,BBMUXS5,2,65691,32
3,5,BBMUXS5,3,65807,32
3,5,BBMUXS5,4,65691,64
3,5,BBMUXS5,5,65807,64
3,5,BBMUXS5,6,65691,128
3,5,BBMUXS5,7,65807,128
3,5,BBMUXS5,8,65806,4
3,5,BBMUXS6,0,64295,2
3,5,BBMUXS6,1,64411,2
3,5,BBMUXS6,2,64295,1
3,5,BBMUXS6,3,64411,1
3,5,BBMUXS6,4,64296,128
3,5,BBMUXS6,5,64412,128
3,5,BBMUXS6,6,64296,64
3,5,BBMUXS6,7,64412,64
3,5,BBMUXS6,8,64412,8
3,5,BBMUXS7,0,64527,2
3,5,BBMUXS7,1,64643,2
3,5,BBMUXS7,2,64527,1
3,5,BBMUXS7,3,64643,1
3,5,BBMUXS7,4,64528,128
3,5,BBMUXS7,5,64644,128
3,5,BBMUXS7,6,64528,64
3,5,BBMUXS7,7,64644,64
3,5,BBMUXS7,8,64644,8
3,5,BBMUXS8,0,64759,2
3,5,BBMUXS8,1,64875,2
3,5,BBMUXS8,2,64759,1
3,5,BBMUXS8,3,64875,1
3,5,BBMUXS8,4,64760,128
3,5,BBMUXS8,5,64876,128
3,5,BBMUXS8,6,64760,64
3,5,BBMUXS8,7,64876,64
3,5,BBMUXS8,8,64876,8
3,5,BBMUXS9,0,65223,2
3,5,BBMUXS9,1,65339,2
3,5,BBMUXS9,2,65223,1
3,5,BBMUXS9,3,65339,1
3,5,BBMUXS9,4,65224,128
3,5,BBMUXS9,5,65340,128
3,5,BBMUXS9,6,65224,64
3,5,BBMUXS9,7,65340,64
3,5,BBMUXS9,8,65340,8
3,5,InputMUX0,0,64295,4
3,5,InputMUX1,0,64527,4
3,5,InputMUX10,0,65455,16
3,5,InputMUX11,0,65687,16
3,5,InputMUX2,0,64759,4
3,5,InputMUX3,0,65223,4
3,5,InputMUX4,0,65455,4
3,5,InputMUX5,0,65687,4
3,5,InputMUX6,0,64295,16
3,5,InputMUX7,0,64527,16
3,5,InputMUX8,0,64759,16
3,5,InputMUX9,0,65223,16
3,5,SeamMUX0,0,64298,32
3,5,SeamMUX0,1,64298,64
3,5,SeamMUX0,2,64298,128
3,5,SeamMUX0,3,64297,1
3,5,SeamMUX0,4,64297,2
3,5,SeamMUX0,5,64297,4
3,5,SeamMUX1,0,64530,32
3,5,SeamMUX1,1,64530,64
3,5,SeamMUX1,2,64530,128
3,5,SeamMUX1,3,64529,1
3,5,SeamMUX1,4,64529,2
3,5,SeamMUX1,5,64529,4
3,5,SeamMUX10,0,65456,1
3,5,SeamMUX10,1,65457,128
3,5,SeamMUX10,2,65457,64
3,5,SeamMUX10,3,65457,32
3,5,SeamMUX10,4,65457,16
3,5,SeamMUX10,5,65457,8
3,5,SeamMUX11,0,65688,1
3,5,SeamMUX11,1,65689,128
3,5,SeamMUX11,2,65689,64
3,5,SeamMUX11,3,65689,32
3,5,SeamMUX11,4,65689,16
3,5,SeamMUX11,5,65689,8
3,5,SeamMUX2,0,64762,32
3,5,SeamMUX2,1,64762,64
3,5,SeamMUX2,2,64762,128
3,5,SeamMUX2,3,64761,1
3,5,SeamMUX2,4,64761,2
3,5,SeamMUX2,5,64761,4
3,5,SeamMUX3,0,65226,32
3,5,SeamMUX3,1,65226,64
3,5,SeamMUX3,2,65226,128
3,5,SeamMUX3,3,65225,1
3,5,SeamMUX3,4,65225,2
3,5,SeamMUX3,5,65225,4
3,5,SeamMUX4,0,65458,32
3,5,SeamMUX4,1,65458,64
3,5,SeamMUX4,2,65458,128
3,5,SeamMUX4,3,65457,1
3,5,SeamMUX4,4,65457,2
3,5,SeamMUX4,5,65457,4
3,5,SeamMUX5,0,65690,32
3,5,SeamMUX5,1,65690,64
3,5,SeamMUX5,2,65690,128
3,5,SeamMUX5,3,65689,1
3,5,SeamMUX5,4,65689,2
3,5,SeamMUX5,5,65689,4
3,5,SeamMUX6,0,64296,1
3,5,SeamMUX6,1,64297,128
3,5,SeamMUX6,2,64297,64
3,5,SeamMUX6,3,64297,32
3,5,SeamMUX6,4,64297,16
3,5,SeamMUX6,5,64297,8
3,5,SeamMUX7,0,64528,1
3,5,SeamMUX7,1,64529,128
3,5,SeamMUX7,2,64529,64
3,5,SeamMUX7,3,64529,32
3,5,SeamMUX7,4,64529,16
3,5,SeamMUX7,5,64529,8
3,5,SeamMUX8,0,64760,1
3,5,SeamMUX8,1,64761,128
3,5,SeamMUX8,2,64761,64
3,5,SeamMUX8,3,64761,32
3,5,SeamMUX8,4,64761,16
3,5,SeamMUX8,5,64761,8
3,5,SeamMUX9,0,65224,1
3,5,SeamMUX9,1,65225,128
3,5,SeamMUX9,2,65225,64
3,5,SeamMUX9,3,65225,32
3,5,SeamMUX9,4,65225,16
3,5,SeamMUX9,5,65225,8
4,5,BBMUXS0,0,64294,1
4,5,BBMUXS0,1,64410,1
4,5,BBMUXS0,2,64294,2
4,5,BBMUXS0,3,64410,2
4,5,BBMUXS0,4,64294,4
4,5,BBMUXS0,5,64410,4
4,5,BBMUXS0,6,64294,8
4,5,BBMUXS0,7,64410,8
4,5,BBMUXS0,8,64410,64
4,5,BBMUXS1,0,64526,1
4,5,BBMUXS1,1,64642,1
4,5,BBMUXS1,2,64526,2
4,5,BBMUXS1,3,64642,2
4,5,BBMUXS1,4,64526,4
4,5,BBMUXS1,5,64642,4
