signal,step,src_wire,dst_wire,evidence
slave_ahb_hwdata[5],4,X13Y7_BBMUXE03,X0Y5_SinkMUXPseudo82,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[6],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[6],1,X14Y12_RMUX21,X14Y11_RMUX87,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[6],2,X14Y11_RMUX87,X14Y7_RMUX63,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[6],3,X14Y7_RMUX63,X13Y7_BBMUXE04,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[6],4,X13Y7_BBMUXE04,X0Y5_SinkMUXPseudo83,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[7],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[7],1,X14Y12_RMUX21,X14Y11_RMUX87,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[7],2,X14Y11_RMUX87,X14Y7_RMUX63,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[7],3,X14Y7_RMUX63,X13Y7_BBMUXE05,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[7],4,X13Y7_BBMUXE05,X0Y5_SinkMUXPseudo84,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[8],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[8],1,X14Y12_RMUX21,X14Y11_RMUX87,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[8],2,X14Y11_RMUX87,X14Y7_RMUX63,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[8],3,X14Y7_RMUX63,X13Y7_BBMUXE06,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[8],4,X13Y7_BBMUXE06,X0Y5_SinkMUXPseudo85,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[9],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[9],1,X14Y12_RMUX21,X14Y11_RMUX87,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[9],2,X14Y11_RMUX87,X14Y7_RMUX63,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[9],3,X14Y7_RMUX63,X13Y7_BBMUXE07,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[9],4,X13Y7_BBMUXE07,X0Y5_SinkMUXPseudo86,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[10],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[10],1,X14Y12_RMUX21,X14Y11_RMUX87,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[10],2,X14Y11_RMUX87,X14Y7_RMUX63,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[10],3,X14Y7_RMUX63,X13Y7_BBMUXE08,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[10],4,X13Y7_BBMUXE08,X0Y5_SinkMUXPseudo87,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[11],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[11],1,X14Y12_RMUX21,X14Y11_RMUX87,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[11],2,X14Y11_RMUX87,X14Y7_RMUX63,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[11],3,X14Y7_RMUX63,X13Y7_BBMUXE09,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[11],4,X13Y7_BBMUXE09,X0Y5_SinkMUXPseudo88,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[12],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[12],1,X14Y12_RMUX21,X14Y11_RMUX87,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[12],2,X14Y11_RMUX87,X14Y7_RMUX63,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[12],3,X14Y7_RMUX63,X13Y7_BBMUXE10,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[12],4,X13Y7_BBMUXE10,X0Y5_SinkMUXPseudo89,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[13],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[13],1,X14Y12_RMUX21,X14Y11_RMUX87,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[13],2,X14Y11_RMUX87,X14Y7_RMUX63,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[13],3,X14Y7_RMUX63,X13Y7_BBMUXE11,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[13],4,X13Y7_BBMUXE11,X0Y5_SinkMUXPseudo90,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[14],0,X14Y12_OMUX00,X15Y12_RMUX14,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[14],1,X15Y12_RMUX14,X15Y11_RMUX50,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[14],2,X15Y11_RMUX50,X15Y7_RMUX13,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[14],3,X15Y7_RMUX13,X14Y7_RMUX48,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[14],4,X14Y7_RMUX48,X13Y7_BBMUXW00,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[14],5,X13Y7_BBMUXW00,X0Y5_SinkMUXPseudo91,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[15],0,X14Y12_OMUX00,X15Y12_RMUX14,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[15],1,X15Y12_RMUX14,X15Y11_RMUX50,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[15],2,X15Y11_RMUX50,X15Y7_RMUX13,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[15],3,X15Y7_RMUX13,X14Y7_RMUX48,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[15],4,X14Y7_RMUX48,X13Y7_BBMUXW01,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[15],5,X13Y7_BBMUXW01,X0Y5_SinkMUXPseudo92,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[16],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[16],1,X14Y12_RMUX21,X14Y8_RMUX87,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[16],2,X14Y8_RMUX87,X14Y6_RMUX63,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[16],3,X14Y6_RMUX63,X13Y6_BBMUXE00,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[16],4,X13Y6_BBMUXE00,X0Y5_SinkMUXPseudo93,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[17],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[17],1,X14Y12_RMUX21,X14Y8_RMUX87,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[17],2,X14Y8_RMUX87,X14Y6_RMUX63,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[17],3,X14Y6_RMUX63,X13Y6_BBMUXE01,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[17],4,X13Y6_BBMUXE01,X0Y5_SinkMUXPseudo94,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[18],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[18],1,X14Y12_RMUX21,X14Y8_RMUX87,vendor-slave-ahb-request-payload-shared
